CustomerID,Age,Gender,Country,Income,ProductQuality,ServiceQuality,PurchaseFrequency,FeedbackScore,LoyaltyLevel,SatisfactionScore
5,60,Male,UK,97546,6,4,13,Low,Bronze,82
6,25,Male,France,49364,5,7,19,High,Silver,80.71
10,40,Female,UK,85307,6,4,20,High,Gold,86.48
11,28,Female,Canada,46732,9,3,3,High,Gold,94.6
12,28,Female,France,38742,8,6,13,Medium,Silver,81.85
13,41,Male,Germany,30028,8,6,20,Medium,Bronze,95.99
16,41,Female,Canada,59164,1,5,10,Medium,Silver,52.34
17,20,Female,Germany,73887,5,4,7,Medium,Silver,73.48
18,39,Female,France,63522,8,3,8,High,Gold,86.31
20,41,Female,Germany,37901,7,5,17,Low,Gold,85.16
21,61,Female,France,41595,2,4,11,High,Gold,69.85
22,47,Female,France,95043,7,2,5,High,Bronze,92.23
23,55,Female,France,42216,5,6,2,Medium,Gold,90.59
24,19,Male,USA,59536,10,5,7,High,Silver,99.65
25,38,Male,France,48184,3,2,2,Low,Gold,49.73
26,50,Male,USA,116529,1,5,18,Medium,Silver,70.82
29,61,Male,Canada,108541,7,1,1,Medium,Silver,75.74
37,64,Male,Germany,65286,6,1,7,Low,Silver,88.16
38,68,Female,UK,40530,1,6,17,High,Bronze,63.97
40,69,Male,UK,75929,5,7,3,Low,Bronze,91.94
42,54,Female,UK,37897,7,1,20,Low,Bronze,72.89
44,24,Female,Germany,91060,5,6,5,Low,Silver,96.58
45,38,Male,Germany,110598,2,4,2,Medium,Silver,63.49
46,26,Female,Canada,40211,7,3,18,High,Silver,79.86
47,56,Male,USA,36990,9,5,7,Medium,Silver,98.21
48,35,Male,UK,55680,7,1,3,Low,Silver,46.66
49,21,Female,USA,54175,4,7,5,Low,Bronze,86.36
51,31,Male,UK,43211,6,6,11,High,Bronze,81.61
53,26,Female,Germany,57358,3,4,19,High,Silver,63.75
54,43,Female,Germany,54191,2,7,18,Low,Gold,94.73
58,64,Male,Germany,55312,7,9,7,Low,Bronze,99.01
59,24,Female,France,99717,3,9,1,High,Silver,91.14
61,25,Female,Canada,39919,5,1,15,Low,Gold,59.41
62,64,Female,UK,108598,2,5,3,Medium,Gold,90.05
64,31,Male,France,56536,10,1,1,High,Gold,67.19
65,34,Female,Canada,70364,6,1,18,High,Gold,60.67
66,53,Female,Canada,99149,9,2,8,Low,Bronze,87.19
68,57,Female,Canada,34262,4,9,18,High,Gold,99.86
70,19,Male,USA,75486,5,4,20,Low,Silver,80.11
71,23,Male,Germany,91477,4,3,14,High,Silver,91.6
72,59,Male,UK,60308,5,2,6,High,Bronze,76.91
73,21,Male,USA,43257,1,4,4,Low,Silver,46.58
76,43,Male,Canada,90145,3,6,3,Medium,Bronze,78.7
77,61,Male,Canada,64282,10,1,16,Medium,Bronze,83.31
78,51,Male,Canada,58514,3,6,17,Medium,Bronze,87.35
79,27,Male,USA,47155,9,5,1,High,Silver,87.48
81,31,Male,USA,102144,7,9,2,Low,Silver,91.72
82,48,Male,France,84868,5,4,11,Low,Gold,71.21
83,65,Male,UK,56005,1,8,12,Low,Gold,88.37
85,25,Female,USA,65875,6,4,11,Low,Gold,84.12
86,31,Female,Canada,118933,3,1,17,Low,Bronze,51.57
87,40,Male,Canada,115896,5,4,9,Medium,Silver,79.53
89,38,Female,USA,44838,1,7,16,High,Bronze,84.79
91,62,Male,Canada,69885,1,6,14,Medium,Gold,71.42
92,35,Male,Canada,71049,10,2,7,High,Silver,77.42
94,41,Female,France,65122,6,7,18,Medium,Gold,82.91
95,43,Female,USA,52438,3,8,12,Low,Gold,91.78
96,42,Male,Canada,38297,3,9,6,High,Gold,81.73
97,62,Female,Germany,87011,4,1,10,Medium,Gold,83.53
99,46,Male,USA,51814,5,3,2,High,Gold,62.79
100,32,Female,Germany,48027,8,7,6,High,Gold,73.83
102,18,Male,USA,73911,3,9,13,Low,Gold,87.24
104,24,Male,UK,109502,5,4,11,Low,Gold,84.43
105,26,Male,Germany,78192,5,5,11,High,Silver,85.26
106,41,Male,France,92190,2,4,8,Medium,Gold,59.89
107,18,Male,France,79929,3,9,9,Low,Bronze,79.86
108,61,Male,UK,40839,10,5,8,Low,Gold,90.56
110,41,Male,France,87200,1,8,7,Medium,Bronze,93.71
111,28,Female,Germany,49631,4,2,19,Low,Gold,79.97
112,68,Male,Canada,112389,2,6,3,Medium,Bronze,81.08
114,25,Female,USA,35065,7,3,13,Medium,Silver,78.74
116,52,Female,USA,39540,4,4,20,High,Gold,74.69
117,50,Male,Germany,106576,1,4,10,High,Silver,70.77
118,22,Male,UK,68947,9,4,6,High,Silver,85.99
119,59,Male,Germany,114199,3,3,1,High,Silver,76.93
120,56,Male,France,96881,3,6,17,Low,Silver,99.16
121,58,Male,Canada,114907,6,9,14,Low,Gold,97.81
123,24,Female,Germany,31196,4,2,3,Medium,Gold,63.03
124,26,Female,USA,93460,5,7,4,Low,Bronze,99.76
125,25,Female,UK,60328,5,8,1,Low,Silver,79.87
127,51,Female,Canada,52193,3,3,9,High,Silver,68.52
130,40,Male,France,61460,4,10,8,Low,Bronze,85.23
131,41,Male,France,40368,3,7,8,Medium,Bronze,72.15
132,54,Male,Canada,95265,10,1,5,High,Bronze,96.28
134,61,Male,France,112935,5,3,19,Medium,Bronze,89.43
135,57,Male,Canada,77042,2,2,8,Medium,Gold,51.15
137,44,Female,Canada,51341,3,3,4,High,Gold,57.98
139,18,Male,Canada,45970,10,3,15,Medium,Bronze,88.63
140,52,Female,UK,46546,5,2,12,Medium,Gold,77.78
142,64,Male,UK,51145,4,3,17,High,Gold,92.42
143,31,Female,USA,67042,1,1,9,High,Silver,26.67
144,20,Male,USA,65992,1,9,20,Medium,Bronze,78.83
145,18,Male,Germany,103510,7,3,15,High,Bronze,83.59
146,22,Male,Germany,42746,9,4,7,Low,Silver,97.22
147,43,Male,Canada,101133,6,3,9,Low,Silver,77.17
148,31,Female,USA,61284,3,2,13,High,Gold,51.81
150,44,Female,UK,44440,9,1,5,Medium,Silver,73.83
151,26,Male,UK,75022,1,7,12,Low,Gold,55.71
152,32,Male,Canada,96759,10,1,9,Medium,Silver,89.27
153,32,Female,USA,114282,5,2,15,High,Bronze,88.23
154,43,Female,Canada,91845,3,4,11,Medium,Gold,70.78
156,30,Female,France,36871,7,5,5,Medium,Bronze,88.46
160,66,Male,USA,49312,4,2,7,Low,Silver,69.68
163,21,Male,Canada,64783,1,1,2,Low,Bronze,29.03
164,47,Male,UK,48172,1,8,5,Low,Silver,73.46
167,56,Male,UK,59206,5,7,4,High,Gold,79.87
170,60,Female,France,66852,1,6,14,High,Bronze,77.8
171,46,Male,USA,60850,8,4,5,Low,Gold,90.13
175,24,Female,Germany,61501,6,1,2,High,Gold,61.82
177,39,Female,USA,114651,4,5,9,Medium,Gold,95.71
178,45,Male,Canada,74007,2,9,17,Low,Gold,98.36
180,59,Female,Canada,77155,1,7,18,Low,Silver,94.69
183,45,Female,Germany,93484,10,1,1,High,Gold,85.16
184,45,Male,UK,63682,2,2,12,Low,Gold,62.22
186,61,Female,Canada,49947,3,6,14,Medium,Gold,77.78
